#,Date,Immigration program,Invitations issued,CRS score of lowest-ranked candidate invited,Date (hidden),Programs covered
190,"May 31, 2021",Canadian Experience Class,5956,380,31-05-2021,Canadian Experience Class
189,"May 26, 2021",Provincial Nominee Program,500,713,26-05-2021,Provincial Nominee Program
188,"May 20, 2021",Canadian Experience Class,1842,397,20-05-2021,Canadian Experience Class
187,"May 13, 2021",Canadian Experience Class,4147,401,13-05-2021,Canadian Experience Class
186,"May 12, 2021",Provincial Nominee Program,557,752,12-05-2021,Provincial Nominee Program
185,"April 29, 2021",Canadian Experience Class,6000,400,29-04-2021,Canadian Experience Class
184,"April 28, 2021",Provincial Nominee Program,381,717,28-04-2021,Provincial Nominee Program
183,"April 16, 2021",Canadian Experience Class,6000,417,15-04-2021,Canadian Experience Class
182,"April 14, 2021",Provincial Nominee Program,266,753,14-04-2021,Provincial Nominee Program
181,"April 1, 2021",Canadian Experience Class,5000,432,1-04-2021,Canadian Experience Class
180,"March 31, 2021",Provincial Nominee Program,284,778,31-03-2021,Provincial Nominee Program
179,"March 18, 2021",Canadian Experience Class,5000,449,18-03-2021,Canadian Experience Class
178,"March 17, 2021",Provincial Nominee Program,183,682,17-03-2021,Provincial Nominee Program
177,"March 08, 2021",Provincial Nominee Program,671,739,08-03-2021,Provincial Nominee Program
176,"February 13, 2021",Canadian Experience Class,"27,332",75,13-02-2021,Canadian Experience Class
175,"February 10, 2021",Provincial Nominee Program,654,720,10-02-2021,Provincial Nominee Program
174,"January 21, 2021",Canadian Experience Class,4626,454,21-01-2021,Canadian Experience Class
173,"January 20, 2021",Provincial Nominee Class,374,741,20-01-2021,Provincial Nominee Class
172,"January 7, 2021",Canadian Experience Class,4750,461,7-01-2021,Canadian Experience Class
171,"January 6, 2021",Provincial Nominee Program,250,813,6-01-2021,Provincial Nominee Program
170,"December 23, 2020",No program specified,5000,468,23-12-2020,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
169,"December 9, 2020",No program specified,5000,469,09-12-2020,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
168,"November 25, 2020",No program specified,5000,469,25-11-2020,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
167,"November 18, 2020",No program specified,5000,472,18-11-2020,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
166,"November 05, 2020",No program specified,4500,478,05-11-2020,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
165,"October 14, 2020",No program specified,4500,471,14-10-2020,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
164,"September 30, 2020",No program specified,4200,471,30-09-2020,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
163,"September 16, 2020",No program specified,4200,472,16-09-2020,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
162,"September 02, 2020",No program specified,4200,475,02-09-2020,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
161,"August 20, 2020",Canadian Experience Class,3300,454,20-08-2020,Canadian Experience Class
160,"August 19, 2020",Provincial Nominee Program,600,771,19-08-2020,Provincial Nominee Program
159,"August 06, 2020",Federal Skilled Trades,250,415,06-08-2020,Federal Skilled Trades
158,"August 05, 2020",No program specified,3900,476,05-08-2020,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
157,"July 23, 2020",Canadian Experience Class,3343,445,23-07-2020,Canadian Experience Class
156,"July 22, 2020",Provincial Nominee Program,557,687,22-07-2020,Provincial Nominee Program
155,"July 08, 2020",No program specified,3900,478,08-07-2020,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
154,"June 25, 2020",Canadian Experience Class,3508,431,25-06-2020,Canadian Experience Class
153,"June 24, 2020",Provincial Nominee Program,392,696,24-06-2020,Provincial Nominee Program
152,"June 11, 2020",Canadian Experience Class,3559,437,11-06-2020,Canadian Experience Class
151,"June 10, 2020",Provincial Nominee Program,341,743,10-06-2020,Provincial Nominee Program
150,"May 28, 2020",Canadian Experience Class,3515,440,28-05-2020,Canadian Experience Class
149,"May 27, 2020",Provincial Nominee Program,385,757,27-05-2020,Provincial Nominee Program
148,"May 14, 2020",Canadian Experience Class,3371,447,14-05-2020,Canadian Experience Class
147,"May 13, 2020",Provincial Nominee Program,529,718,13-05-2020,Provincial Nominee Program
146,"April 30, 2020",Canadian Experience Class,3311,452,30-04-2020,Canadian Experience Class
145,"April 29, 2020",Provincial Nominee Program,589,692,29-04-2020,Provincial Nominee Program
144,"April 16, 2020",Canadian Experience Class,3782,455,16-04-2020,Canadian Experience Class
143,"April 15, 2020",Provincial Nominee Program,118,808,15-04-2020,Provincial Nominee Program
142,"April 09, 2020",Canadian Experience Class,3294,464,09-04-2020,Canadian Experience Class
141,"April 09, 2020",Provincial Nominee Program,606,698,09-04-2020,Provincial Nominee Program
140,"March 23, 2020",Canadian Experience Class,3232,467,23-03-2020,Canadian Experience Class
139,"March 18, 2020",Provincial Nominee Program,668,720,18-03-2020,Provincial Nominee Program
138,"March 04, 2020",No program specified,3900,471,04-03-2020,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
137,"February 19, 2020",No program specified,4500,470,19-02-2020,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
